Município,2024/Jan,2024/Fev,2024/Mar,2024/Abr,2024/Mai,2024/Jun,2024/Jul,2024/Ago,2024/Set,2024/Out,2024/Nov,2024/Dez,2025/Jan,2025/Fev,2025/Mar,2025/Abr,2025/Mai,2025/Jun,2025/Jul,2025/Ago,2025/Set,2025/Out,2025/Nov,2025/Dez,Total
170070 ALVORADA,36,18,35,26,33,43,22,37,43,24,26,35,27,41,15,39,44,68,22,14,13,24,23,10,718
170100 ANANAS,6,11,9,12,13,9,15,18,6,3,9,10,9,3,16,15,25,14,16,9,18,10,11,12,279
170190 ARAGUACEMA,25,51,67,108,35,60,35,87,27,31,41,67,67,49,47,87,85,90,73,104,69,79,35,69,1488
170200 ARAGUACU,19,21,22,29,11,33,7,73,28,33,27,26,65,64,51,59,94,52,-,55,-,45,30,36,880
170210 ARAGUAINA,1732,2426,2156,2320,2206,1923,2147,2212,2249,2381,2115,2350,2072,2101,2455,2382,2445,2226,2641,2264,2153,2293,2027,2173,53449
170220 ARAGUATINS,48,54,48,73,74,62,24,31,29,56,26,46,83,86,66,75,126,110,101,113,108,122,100,100,1761
170230 ARAPOEMA,107,98,134,118,83,98,90,134,109,91,111,114,97,88,112,87,117,119,88,107,110,108,92,114,2526
170240 ARRAIAS,118,135,168,146,154,208,187,149,169,186,110,125,139,109,188,61,204,109,153,98,147,141,131,93,3428
170255 AUGUSTINOPOLIS,312,477,347,358,447,366,402,377,383,331,350,300,457,372,307,322,174,368,405,539,372,396,363,392,8917
170370 BREJINHO DE NAZARE,3,2,4,7,11,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34
170550 COLINAS DO TOCANTINS,138,164,145,206,217,182,145,119,128,157,153,110,121,154,152,120,218,171,161,136,169,173,167,173,3779
170610 CRISTALANDIA,-,-,-,-,-,-,-,-,-,-,-,4,1,13,-,5,9,-,13,4,-,-,-,-,49
170700 DIANOPOLIS,124,133,191,174,179,164,132,91,137,119,134,109,187,128,146,140,245,196,164,136,134,139,160,159,3621
170710 DIVINOPOLIS DO TOCANTINS,18,16,20,-,-,15,-,-,-,6,7,4,4,11,11,41,12,39,27,21,24,-,-,-,276
170730 DUERE,-,8,23,38,8,2,3,9,5,3,3,1,3,-,1,7,6,44,-,-,-,-,-,-,164
170820 FORMOSO DO ARAGUAIA,58,50,52,87,60,60,37,82,45,49,69,64,62,45,70,99,97,69,41,41,65,89,59,61,1511
170900 GOIATINS,16,11,11,21,18,13,12,5,4,6,5,5,13,3,4,16,14,13,11,11,11,8,5,4,240
170930 GUARAI,296,313,160,262,298,299,320,331,194,311,285,238,225,235,238,170,249,231,296,186,277,267,252,218,6151
170950 GURUPI,817,761,766,782,904,916,818,828,812,884,826,611,845,890,814,914,969,825,869,959,879,934,865,805,20293
171050 ITACAJA,-,-,-,-,-,-,-,4,13,5,11,11,17,16,32,15,52,27,21,28,12,16,23,17,320
171190 LAGOA DA CONFUSAO,13,7,14,16,-,-,-,-,-,5,-,-,7,8,5,-,-,-,-,-,-,-,-,-,75
171320 MIRACEMA DO TOCANTINS,203,245,334,307,248,296,430,433,389,336,254,377,264,278,276,269,354,295,281,331,290,282,331,256,7359
171420 NATIVIDADE,3,4,5,4,5,5,5,8,11,5,4,7,6,4,4,12,14,19,4,20,9,26,5,8,197
171575 PALMEIROPOLIS,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,17,24,24,16,28,23,25,17,184
171610 PARAISO DO TOCANTINS,489,394,549,428,402,475,562,783,875,592,504,672,565,655,573,598,199,739,485,635,475,535,649,345,13178
171620 PARANA,14,30,17,34,34,25,32,32,25,14,49,28,17,42,17,32,11,23,29,51,36,39,31,-,662
171650 PEDRO AFONSO,62,79,83,96,112,96,89,116,99,104,99,106,62,109,90,100,109,113,68,61,97,105,68,66,2189
171660 PEIXE,16,17,41,27,37,16,26,40,34,39,20,24,19,22,25,35,33,25,30,26,11,24,-,-,587
171700 PINDORAMA DO TOCANTINS,28,34,24,30,26,21,25,-,-,-,-,27,-,-,9,8,10,10,6,9,16,19,21,4,327
171750 PIUM,51,40,46,78,57,48,14,59,74,45,48,36,59,71,31,64,68,55,7,32,28,12,36,10,1069
171790 PONTE ALTA DO TOCANTINS,4,4,4,4,3,3,4,3,4,4,1,4,4,4,4,6,21,13,15,7,4,13,9,14,156
171820 PORTO NACIONAL,471,539,490,430,523,454,360,382,418,322,368,405,575,391,541,676,655,540,637,559,519,797,595,598,12245
172065 SILVANOPOLIS,2,4,4,7,2,3,12,15,-,13,7,2,13,10,9,7,17,15,9,7,5,12,7,8,190
172080 SITIO NOVO DO TOCANTINS,35,37,38,35,39,39,39,37,36,29,31,31,-,14,17,20,31,29,21,19,20,36,29,31,693
