sk_diag;cid;descricao_cid;categoria_cid
1;I889;CID I889;Doenças do aparelho circulatório
2;J189;CID J189;Doenças do aparelho respiratório
3;E149;CID E149;Doenças endócrinas e metabólicas
4;G911;CID G911;Doenças do sistema nervoso
5;Q780;CID Q780;Malformações congênitas
6;F09;CID F09;Transtornos mentais e comportamentais
7;F158;CID F158;Transtornos mentais e comportamentais
8;F252;CID F252;Transtornos mentais e comportamentais
9;I844;CID I844;Doenças do aparelho circulatório
10;S723;CID S723;Lesões e causas externas
11;O800;CID O800;Gravidez, parto e puerpério
12;C443;CID C443;Neoplasias
13;Q892;CID Q892;Malformações congênitas
14;D440;CID D440;Neoplasias / Doenças do sangue
15;D117;CID D117;Neoplasias / Doenças do sangue
16;E145;CID E145;Doenças endócrinas e metabólicas
17;A419;CID A419;Doenças infecciosas e parasitárias
18;S630;CID S630;Lesões e causas externas
19;S624;CID S624;Lesões e causas externas
20;K80;CID K80;Doenças do aparelho digestivo
21;S271;CID S271;Lesões e causas externas
22;M494;CID M494;Doenças do sistema osteomuscular
23;L03;CID L03;Doenças da pele
24;K35;CID K35;Doenças do aparelho digestivo
25;T23;CID T23;Lesões e causas externas
26;T846;CID T846;Lesões e causas externas
27;S627;CID S627;Lesões e causas externas
28;S662;CID S662;Lesões e causas externas
29;Z302;CID Z302;Fatores que influenciam o estado de saúde
30;C500;CID C500;Neoplasias
31;N818;CID N818;Doenças do aparelho geniturinário
32;N759;CID N759;Doenças do aparelho geniturinário
33;S068;CID S068;Lesões e causas externas
34;I803;CID I803;Doenças do aparelho circulatório
35;K929;CID K929;Doenças do aparelho digestivo
36;I64;CID I64;Doenças do aparelho circulatório
37;J300;CID J300;Doenças do aparelho respiratório
38;I61;CID I61;Doenças do aparelho circulatório
39;I442;CID I442;Doenças do aparelho circulatório
40;C50;CID C50;Neoplasias
41;I516;CID I516;Doenças do aparelho circulatório
42;J18;CID J18;Doenças do aparelho respiratório
43;N11;CID N11;Doenças do aparelho geniturinário
44;N201;CID N201;Doenças do aparelho geniturinário
45;C41;CID C41;Neoplasias
46;G569;CID G569;Doenças do sistema nervoso
47;K40;CID K40;Doenças do aparelho digestivo
48;I10;CID I10;Doenças do aparelho circulatório
49;C34;CID C34;Neoplasias
50;K638;CID K638;Doenças do aparelho digestivo
51;C410;CID C410;Neoplasias
52;S020;CID S020;Lesões e causas externas
53;D329;CID D329;Neoplasias / Doenças do sangue
54;N390;CID N390;Doenças do aparelho geniturinário
55;J96;CID J96;Doenças do aparelho respiratório
56;S622;CID S622;Lesões e causas externas
57;I50;CID I50;Doenças do aparelho circulatório
58;K920;CID K920;Doenças do aparelho digestivo
59;F103;CID F103;Transtornos mentais e comportamentais
60;F23;CID F23;Transtornos mentais e comportamentais
61;F29;CID F29;Transtornos mentais e comportamentais
62;F239;CID F239;Transtornos mentais e comportamentais
63;F200;CID F200;Transtornos mentais e comportamentais
64;F25;CID F25;Transtornos mentais e comportamentais
65;D410;CID D410;Neoplasias / Doenças do sangue
66;N189;CID N189;Doenças do aparelho geniturinário
67;I289;CID I289;Doenças do aparelho circulatório
68;I219;CID I219;Doenças do aparelho circulatório
69;G468;CID G468;Doenças do sistema nervoso
70;T068;CID T068;Lesões e causas externas
71;C349;CID C349;Neoplasias
72;N939;CID N939;Doenças do aparelho geniturinário
73;E138;CID E138;Doenças endócrinas e metabólicas
74;N328;CID N328;Doenças do aparelho geniturinário
75;K805;CID K805;Doenças do aparelho digestivo
76;E741;CID E741;Doenças endócrinas e metabólicas
77;G400;CID G400;Doenças do sistema nervoso
78;L989;CID L989;Doenças da pele
79;I428;CID I428;Doenças do aparelho circulatório
80;J110;CID J110;Doenças do aparelho respiratório
81;K521;CID K521;Doenças do aparelho digestivo
82;L139;CID L139;Doenças da pele
83;C71;CID C71;Neoplasias
84;G406;CID G406;Doenças do sistema nervoso
85;G378;CID G378;Doenças do sistema nervoso
86;C763;CID C763;Neoplasias
87;J041;CID J041;Doenças do aparelho respiratório
88;N801;CID N801;Doenças do aparelho geniturinário
89;S820;CID S820;Lesões e causas externas
90;O639;CID O639;Gravidez, parto e puerpério
91;S061;CID S061;Lesões e causas externas
92;J159;CID J159;Doenças do aparelho respiratório
93;I509;CID I509;Doenças do aparelho circulatório
