sk_tempo;ano;mes;dia;nome_mes;trimestre
1;2022;10;9;Outubro;4
2;2022;9;27;Setembro;3
3;2022;10;20;Outubro;4
4;2022;10;12;Outubro;4
5;2022;9;22;Setembro;3
6;2022;10;24;Outubro;4
7;2022;9;4;Setembro;3
8;2022;9;1;Setembro;3
9;2022;12;2;Dezembro;4
10;2022;10;26;Outubro;4
11;2022;10;8;Outubro;4
12;2022;10;11;Outubro;4
13;2022;10;7;Outubro;4
14;2022;10;28;Outubro;4
15;2022;11;23;Novembro;4
16;2022;11;30;Novembro;4
17;2022;12;11;Dezembro;4
18;2022;12;9;Dezembro;4
19;2022;11;8;Novembro;4
20;2022;11;1;Novembro;4
21;2022;11;18;Novembro;4
22;2022;11;27;Novembro;4
23;2022;12;4;Dezembro;4
24;2022;12;23;Dezembro;4
25;2022;11;16;Novembro;4
26;2023;1;12;Janeiro;1
27;2023;1;6;Janeiro;1
28;2023;1;3;Janeiro;1
29;2022;10;25;Outubro;4
30;2022;12;1;Dezembro;4
31;2022;11;26;Novembro;4
32;2022;10;2;Outubro;4
33;2022;9;24;Setembro;3
34;2022;10;3;Outubro;4
35;2022;10;1;Outubro;4
36;2023;1;10;Janeiro;1
37;2023;1;9;Janeiro;1
38;2023;1;17;Janeiro;1
39;2022;12;31;Dezembro;4
40;2023;1;11;Janeiro;1
41;2022;12;29;Dezembro;4
42;2023;1;7;Janeiro;1
43;2022;12;30;Dezembro;4
44;2023;1;2;Janeiro;1
45;2022;12;28;Dezembro;4
46;2023;1;16;Janeiro;1
47;2023;1;5;Janeiro;1
48;2022;12;16;Dezembro;4
49;2023;1;14;Janeiro;1
50;2022;11;19;Novembro;4
51;2022;12;26;Dezembro;4
52;2022;12;20;Dezembro;4
53;2022;12;12;Dezembro;4
54;2022;12;17;Dezembro;4
55;2022;12;22;Dezembro;4
56;2023;1;25;Janeiro;1
57;2023;1;26;Janeiro;1
58;2022;9;21;Setembro;3
59;2022;10;5;Outubro;4
60;2022;10;23;Outubro;4
61;2022;9;8;Setembro;3
62;2022;10;19;Outubro;4
63;2022;10;10;Outubro;4
64;2022;10;4;Outubro;4
65;2022;10;15;Outubro;4
66;2022;10;18;Outubro;4
67;2022;11;11;Novembro;4
68;2022;11;10;Novembro;4
69;2022;11;5;Novembro;4
70;2022;11;15;Novembro;4
71;2022;11;20;Novembro;4
72;2022;11;21;Novembro;4
73;2022;11;7;Novembro;4
74;2022;10;17;Outubro;4
75;2022;10;16;Outubro;4
76;2022;12;15;Dezembro;4
77;2022;11;24;Novembro;4
78;2022;11;6;Novembro;4
79;2022;12;13;Dezembro;4
80;2022;12;24;Dezembro;4
81;2022;12;19;Dezembro;4
82;2022;9;17;Setembro;3
83;2022;12;18;Dezembro;4
84;2022;11;4;Novembro;4
85;2022;11;22;Novembro;4
86;2022;12;6;Dezembro;4
87;2022;12;3;Dezembro;4
88;2023;1;1;Janeiro;1
89;2023;1;8;Janeiro;1
90;2023;1;4;Janeiro;1
91;2022;12;5;Dezembro;4
92;2022;12;21;Dezembro;4
93;2022;10;22;Outubro;4
94;2022;10;31;Outubro;4
95;2022;10;14;Outubro;4
96;2022;11;29;Novembro;4
97;2022;11;9;Novembro;4
98;2022;11;3;Novembro;4
99;2022;10;6;Outubro;4
100;2022;11;14;Novembro;4
101;2022;10;27;Outubro;4
102;2022;12;8;Dezembro;4
103;2022;11;25;Novembro;4
104;2022;12;27;Dezembro;4
105;2022;11;2;Novembro;4
106;2022;10;21;Outubro;4
107;2022;11;13;Novembro;4
108;2022;11;17;Novembro;4
109;2022;10;30;Outubro;4
110;2023;1;15;Janeiro;1
111;2023;1;18;Janeiro;1
112;2022;10;29;Outubro;4
113;2023;1;29;Janeiro;1
114;2022;11;12;Novembro;4
115;2022;12;10;Dezembro;4
116;2022;12;25;Dezembro;4
117;2022;9;30;Setembro;3
118;2022;9;29;Setembro;3
119;2022;9;19;Setembro;3
120;2022;10;13;Outubro;4
121;2022;9;16;Setembro;3
122;2022;9;5;Setembro;3
123;2022;9;28;Setembro;3
124;2022;11;28;Novembro;4
125;2022;8;27;Agosto;3
126;2023;1;23;Janeiro;1
127;2023;1;24;Janeiro;1
128;2023;1;13;Janeiro;1
129;2022;12;7;Dezembro;4
130;2022;12;14;Dezembro;4
131;2023;1;21;Janeiro;1
132;2023;1;19;Janeiro;1
133;2023;1;20;Janeiro;1
134;2023;1;30;Janeiro;1
135;2022;9;9;Setembro;3
136;2022;9;7;Setembro;3
137;2022;9;11;Setembro;3
138;2022;9;13;Setembro;3
139;2023;1;22;Janeiro;1
140;2022;9;2;Setembro;3
141;2022;9;10;Setembro;3
142;2022;9;26;Setembro;3
143;2022;9;23;Setembro;3
144;2022;9;15;Setembro;3
145;2022;9;25;Setembro;3
146;2023;1;27;Janeiro;1
147;2023;1;28;Janeiro;1
148;2022;9;18;Setembro;3
149;2022;9;20;Setembro;3
150;2022;9;14;Setembro;3
151;2022;8;16;Agosto;3
152;2022;9;6;Setembro;3
153;2022;8;28;Agosto;3
154;2022;9;12;Setembro;3
155;2023;1;31;Janeiro;1
156;2022;9;3;Setembro;3
157;2022;8;31;Agosto;3
158;2022;8;5;Agosto;3
159;2022;8;13;Agosto;3
160;2022;7;30;Julho;3
161;2022;8;22;Agosto;3
162;2022;8;29;Agosto;3
163;2022;8;1;Agosto;3
